[WARN] Migration 14 statement failed: "database table is locked Unable to fetch row" - SQL: "DROP TABLE IF EXISTS messages"
[WARN] Migration 14 statement failed: "there is already another table or index with this name: messages Unable to execute statement" - SQL: "ALTER TABLE messages_new2 RENAME TO messages"
[DEBUG] WinTaskbar: initialised (stub — ITaskbarList3 not linked)
[DEBUG] UnreadTracker::init loaded 0 entries
[DEBUG] WebRtcEngine: libdatachannel NOT available
[] Using Qt multimedia with FFmpeg version 7.1.3 LGPL version 2.1 or later
[DEBUG] AudioManager: default mic: "Voicemeeter Out B1 (VB-Audio Voicemeeter VAIO)" default speaker: "Voicemeeter AUX Input (VB-Audio Voicemeeter VAIO)"
[DEBUG] VideoManager: initialized
[DEBUG] CallManager: initialized
[WARN] QSystemTrayIcon::setVisible: No Icon set
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[WARN] qrc:/qml/shell/TitleBar.qml:138:13: QML Connections: Detected function "onIconTypeChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
[DEBUG] TokenManager HTTP 200 OK body: "{\"success\":true,\"data\":{\"access_token\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkNGJiNjk4MS0wMTllLTcwMDAtYjAxMy05ZWViYTQ2YzRkZGYiLCJpYXQiOjE3ODMwODU3NjcsImV4cCI6MTc4MzY5MDU2N30.lZ5jEt_JpPyf8AC"
[DEBUG] ChatStreamClient: connecting to "wss://www.p314.top/ws/connect"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"pong\"}"
[DEBUG] ChatStreamClient: raw frame: "{\"type\": \"ping\"}"
